date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-04-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.558287,57648510.13,1131.0,36994801.0
2020-04-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.572615,57711994.18,1106.0,36698113.0
2020-04-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.587292,56373256.98,1133.0,35515363.0
2020-04-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.612685,58258313.56,1178.0,36125031.0
2020-04-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.604233,59058413.25,1202.0,36814104.0
2020-04-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.598662,58378675.32,1215.0,36517207.0
2020-04-30,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.593951,60572463.66,1216.0,38001463.0
2020-05-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.601593,63389510.69,1215.0,39579028.0
2020-05-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.600359,63099791.68,1228.0,39428525.0
2020-05-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.604504,64598822.55,1254.0,40260934.0
2020-05-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.62436,67112747.78,1293.0,41316424.0
2020-05-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.631482,64902569.35,1327.0,39781368.0
2020-05-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.628561,68208825.1,1375.0,41882873.0
2020-05-12,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.606204,68551206.92,1397.0,42679011.0
2020-05-13,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.597374,69915320.45,1384.0,43768904.0
2020-05-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.578448,68808644.39,1343.0,43592597.0
2020-05-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.591825,63594816.93,1343.0,39950884.0
2020-05-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.594826,64607825.03,1349.0,40510899.0
2020-05-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.61284,65622896.66,1345.0,40687784.0
2020-05-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.61284,65622896.66,1345.0,40687784.0
2020-05-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.587009,64434149.46,1321.0,40601005.0
2020-05-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.584826,63489045.16,1300.0,40060566.0
2020-05-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.577939,52054492.2,1288.0,32988907.0
2020-05-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.545859,51133629.26,1258.0,33077815.0
2020-05-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.562157,52056214.98,1247.0,33323287.0
2020-06-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.570355,52566618.39,1258.0,33474345.0
2020-06-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.579148,55328473.22,1255.0,35036925.0
2020-06-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.576661,55290473.75,1246.0,35068079.0
2020-06-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.548758,54153882.12,1246.0,34966015.0
2020-06-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.54117,53643083.88,1246.0,34806719.0
2020-06-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.545455,54757050.55,1249.0,35431022.0
2020-06-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.535347,55047437.61,1252.0,35853421.0
2020-06-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.546301,55518841.05,1251.0,35904288.0
2020-06-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.559258,56087669.14,1253.0,35970754.0
2020-06-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.577379,58856253.89,1266.0,37312698.0
