date,code,title,price,market_cap,number_of_investors,number_of_shares
2021-10-27,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.476957,59522596.03,0.0,40300824.0
2021-10-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.191777,49766197.18,0.0,22705871.0
2021-10-27,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.098133,2615507.9,0.0,2381778.0
2021-10-28,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.092614,2732092.08,135.0,2500509.0
2021-10-28,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.4815,59744303.69,1717.0,40326907.0
2021-10-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.18362,46300090.45,1395.0,21203364.0
2021-10-28,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.098191,1638309747.66,5597.0,1491825768.0
2021-11-01,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.474509,57601193.56,1693.0,39064663.0
2021-11-01,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.092022,2018583.83,137.0,1848482.0
2021-11-01,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.100005,1672749616.62,5465.0,1520674505.0
2021-11-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.183693,45511522.0,1382.0,20841536.0
2021-11-02,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.089981,2187696.18,166.0,2007095.0
2021-11-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.19105,45546036.44,1382.0,20787309.0
2021-11-02,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.490107,58183779.37,1691.0,39046716.0
2021-11-02,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.100451,1619908106.81,5412.0,1472040250.0
2021-11-03,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.091487,2774266.68,200.0,2541732.0
2021-11-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.194246,45473275.71,1383.0,20723875.0
2021-11-03,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.481173,57584451.36,1680.0,38877611.0
2021-11-03,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.100905,1613043231.88,5371.0,1465197306.0
2021-11-04,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.101348,1628074196.86,5299.0,1478255362.0
2021-11-04,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.480549,55536579.53,1663.0,37510790.0
2021-11-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.215463,46268525.04,1379.0,20884359.0
2021-11-04,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.092522,3551072.54,259.0,3250345.0
2021-11-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.215756,46332478.78,1372.0,20910464.0
2021-11-05,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.101795,1571320283.87,5284.0,1426145772.0
2021-11-05,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.499714,56251406.0,1645.0,37508081.0
2021-11-05,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.091735,5323351.56,317.0,4876049.0
2021-11-08,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.50197,54714511.32,1629.0,36428489.0
2021-11-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.237815,46646432.67,1368.0,20844634.0
2021-11-08,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.103151,1549767556.63,5231.0,1404855281.0
2021-11-08,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.106245,6694285.95,355.0,6051362.0
2021-11-09,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.111999,8519199.59,410.0,7661157.0
2021-11-09,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.1036,1514048108.3,5178.0,1371917978.0
2021-11-09,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.519236,54980953.51,1626.0,36189882.0
2021-11-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.262298,46938441.83,1373.0,20748127.0
2021-11-10,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.104046,1510085304.53,5137.0,1367774256.0
2021-11-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.275256,47127788.64,1376.0,20713185.0
2021-11-10,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.117285,10926022.72,469.0,9779079.0
2021-11-10,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.524495,55847266.69,1621.0,36633279.0
2021-11-11,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.523454,57743664.16,1615.0,37903112.0
2021-11-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.295652,47747482.09,1382.0,20799096.0
2021-11-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.295652,47747482.09,1382.0,20799096.0
2021-11-11,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.104479,1500134570.9,5080.0,1358228397.0
2021-11-11,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.104479,1500134570.9,5080.0,1358228397.0
2021-11-11,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.118659,13632876.26,523.0,12186801.0
2021-11-11,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.118659,13632876.26,523.0,12186801.0
2021-11-11,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.523454,57743664.16,1615.0,37903112.0
2021-11-12,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.152547,17827357.68,589.0,15467791.0
2021-11-12,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.326323,48710550.97,1396.0,20938859.0
2021-11-12,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.104927,1478104487.67,5063.0,1337740010.0
2021-11-12,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.532235,57493478.61,1605.0,37522634.0
2021-11-15,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.158479,21884322.39,631.0,18890561.0
2021-11-15,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.557366,56598248.57,1596.0,36342285.0
2021-11-15,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.106285,1475360699.22,5018.0,1333617649.0
2021-11-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.361129,51043518.31,1404.0,21618272.0
2021-11-16,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.596333,57676260.35,1599.0,36130466.0
2021-11-16,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.383414,50316284.27,1417.0,21111010.0
2021-11-16,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.164428,24630659.35,678.0,21152590.0
2021-11-16,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.106735,1437547910.57,4941.0,1298908461.0
2021-11-17,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.188097,25678653.41,735.0,21613270.0
2021-11-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.435451,53196120.98,1426.0,21842408.0
2021-11-17,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.579806,58056427.86,1609.0,36749088.0
2021-11-17,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.107186,1421542515.88,4853.0,1283924011.0
2021-11-18,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.599393,58276222.42,1611.0,36436451.0
2021-11-18,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.107631,1542573781.12,4656.0,1392677837.0
2021-11-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.475272,55507728.33,1441.0,22424901.0
2021-11-18,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.206439,30797241.29,790.0,25527398.0
2021-11-19,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.108084,1499156151.17,4602.0,1352926725.0
2021-11-19,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.553557,59292270.43,1448.0,23219485.0
2021-11-19,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.611743,58707214.4,1603.0,36424677.0
2021-11-19,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.246053,33544273.56,833.0,26920420.0
2021-11-22,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.109438,1486141006.39,4557.0,1339544000.0
2021-11-22,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.639987,60050320.62,1604.0,36616332.0
2021-11-22,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.268252,35234326.51,891.0,27781808.0
2021-11-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.623363,61006492.29,1449.0,23255073.0
2021-11-23,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.664911,60385752.37,1635.0,36269654.0
2021-11-23,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.280531,40442098.18,966.0,31582287.0
2021-11-23,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.109864,1480743829.31,4481.0,1334166508.0
2021-11-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.644821,60744116.88,1472.0,22967197.0
2021-11-24,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.110297,1446932058.52,4288.0,1303193924.0
2021-11-24,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.357899,49835044.32,1063.0,36700120.0
2021-11-24,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.693851,62627064.64,1670.0,36973177.0
2021-11-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.823411,65440253.46,1501.0,23177731.0
2021-11-25,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.110726,1389446275.87,4264.0,1250934722.0
2021-11-25,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.374719,60394744.59,1125.0,43932443.0
2021-11-25,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.710869,64312955.51,1694.0,37590814.0
2021-11-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.886254,68890386.21,1517.0,23868445.0
2021-11-26,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.721922,47871859.41,1736.0,27801404.0
2021-11-26,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.111148,1427206681.54,4259.0,1284443506.0
2021-11-26,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.755833,69476828.22,1530.0,25210830.0
2021-11-26,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.314124,59970622.72,1174.0,45635434.0
2021-11-29,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.316964,62155675.62,1186.0,47196202.0
2021-11-29,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.708694,53648694.99,1763.0,31397488.0
2021-11-29,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.112426,1429479515.22,4239.0,1285010570.0
2021-11-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.788562,69508518.5,1535.0,24926296.0
2021-11-30,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.367147,64895912.81,1246.0,47468122.0
2021-11-30,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.754099,58071203.94,1775.0,33106002.0
2021-11-30,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.112848,1397971679.19,4197.0,1256210854.0
2021-11-30,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.910577,71583749.24,1559.0,24594354.0
2021-12-01,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.372565,66160722.06,1321.0,48202246.0
2021-12-01,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.113269,1366016501.08,4135.0,1227031838.0
2021-12-01,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.745103,55225976.36,1817.0,31646259.0
2021-12-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.965885,75424301.62,1574.0,25430622.0
2021-12-02,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.766455,61687979.26,1854.0,34921918.0
2021-12-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.04951,79358750.02,1582.0,26023443.0
2021-12-02,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.417156,73500768.23,1387.0,51864975.0
2021-12-02,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.113691,1326300055.04,4083.0,1190905368.0
2021-12-03,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.114111,1318471715.38,4104.0,1183429099.0
2021-12-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.052165,79285767.48,1610.0,25976898.0
2021-12-03,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.413089,68494313.05,1480.0,48471331.0
2021-12-03,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.789936,65413010.17,1882.0,36544889.0
2021-12-06,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.432057,74465611.01,1575.0,51999068.0
2021-12-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.096433,81624283.36,1649.0,26360743.0
2021-12-06,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.11539,1371561904.46,4098.0,1229670360.0
2021-12-06,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.818721,68560490.63,1910.0,37697092.0
2021-12-07,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.11581,1374919604.73,4108.0,1232216942.0
2021-12-07,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.831289,75128325.71,1953.0,41024844.0
2021-12-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.125771,85441301.36,1672.0,27334473.0
2021-12-07,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.449303,79578491.8,1674.0,54908107.0
2021-12-08,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.443592,85384985.31,1735.0,59147586.0
2021-12-08,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.867403,79401196.7,1992.0,42519581.0
2021-12-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.107579,86593543.93,1695.0,27865273.0
2021-12-08,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.116231,1403557076.06,4111.0,1257407921.0
2021-12-09,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.439567,90236336.98,1805.0,62682981.0
2021-12-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.108303,80211184.94,1702.0,25805458.0
2021-12-09,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.891133,85105560.13,2045.0,45002428.0
2021-12-09,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.116653,1378878711.16,4111.0,1234832182.0
2021-12-10,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.908898,93734871.08,2120.0,49104177.0
2021-12-10,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.117073,1382205549.66,4101.0,1237345831.0
2021-12-10,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.447912,94195305.59,1839.0,65055979.0
2021-12-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.13295,81453616.09,1716.0,25999015.0
2021-12-13,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.118356,1393617139.27,4023.0,1246130553.0
2021-12-13,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.910213,107830348.88,2155.0,56449375.0
2021-12-13,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.439477,90516527.47,1888.0,62881525.0
2021-12-13,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.13366,82708513.1,1736.0,26393583.0
2021-12-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.249362,86449545.56,1764.0,26605084.0
2021-12-14,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.944282,111611261.65,2189.0,57404875.0
2021-12-14,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.506568,94707332.25,1939.0,62862983.0
2021-12-14,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.118758,1418844267.47,3943.0,1268231991.0
2021-12-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.233363,90668359.46,1787.0,28041500.0
2021-12-15,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.485828,98946512.57,2001.0,66593501.0
2021-12-15,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.119186,1249578388.06,3884.0,1116506821.0
2021-12-15,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.991202,115610716.08,2231.0,58060759.0
2021-12-16,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.119606,1337599237.04,3757.0,1194705322.0
2021-12-16,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.306233,94129030.56,1804.0,28470175.0
2021-12-16,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.970289,117322361.42,2277.0,59545765.0
2021-12-16,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.523725,99461288.13,2096.0,65275082.0
2021-12-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.464858,98386013.48,1828.0,28395399.0
2021-12-17,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.064564,120831985.12,2338.0,58526649.0
2021-12-17,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.120043,1221768033.21,3682.0,1090822382.0
2021-12-17,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.588021,106159516.21,2175.0,66850179.0
2021-12-20,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.925617,118565806.15,2430.0,61572905.0
2021-12-20,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.721052,115977687.25,2322.0,67387691.0
2021-12-20,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.121334,1113045677.25,3528.0,992608417.0
2021-12-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.765679,106965560.32,1863.0,28405381.0
2021-12-21,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.902192,124990733.3,2470.0,65708775.0
2021-12-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,4.012019,118958871.77,1909.0,29650628.0
2021-12-21,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.830321,145834863.38,2451.0,79677202.0
2021-12-21,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.12177,1042668904.8,3396.0,929485204.0
2021-12-22,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.413955,126730532.0,2224.0,89628376.0
2021-12-22,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.764922,103877924.82,2412.0,58856941.0
2021-12-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,3.009385,92205950.03,1807.0,30639471.0
2021-12-22,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.122186,969125780.61,3454.0,863605560.0
2021-12-23,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.702594,93292914.76,2320.0,54794567.0
2021-12-23,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.354627,99045542.02,2190.0,73116481.0
2021-12-23,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.122591,991108895.85,3505.0,882876099.0
2021-12-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.88864,79220150.43,1767.0,27424727.0
2021-12-24,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.122991,992497644.01,3531.0,883798573.0
2021-12-24,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.70113,86584413.08,2288.0,50898190.0
2021-12-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.673358,70751856.0,1718.0,26465542.0
2021-12-24,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.27347,89808231.35,2143.0,70522458.0
2021-12-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.72711,68361366.49,1694.0,25067333.0
2021-12-27,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,1.276464,84328348.74,2130.0,66064009.0
2021-12-27,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.760341,94496831.74,2278.0,53680970.0
2021-12-27,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.124225,1021177205.18,3531.0,908339147.0
2021-12-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,2.648163,62124781.42,1700.0,23459580.0
2021-12-28,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.124633,1022437607.44,3510.0,909129678.0
